# Lighthouse Branch Change Inventory

Selected range: `494b00a3491e2c5e281f6972aa00694b17f16722..0dd6c3b8cf3b1eece82a0a7ee87282a222d93bf5`. The base is the parent of the first EIP-8025 branch commit. Status codes are Git name-status codes. Hunk contexts are mechanically extracted from the exact diff and may show enclosing unchanged symbols; Phase 2 must expand call graphs.

Counts: 109 files; 41 Direct; 68 Supporting; 0 Unrelated. Every file is classified. No rename was detected.

| File | Change | Classification | Requirement IDs | Evidence/reason | Changed symbols or hunk context |
|---|---:|---|---|---|---|
| `.github/workflows/kurtosis-eip8025.yml` | A | Supporting | EIP8025-TEST-001 | CI coverage | workflow jobs |
| `.github/workflows/nightly-tests.yml` | M | Supporting | EIP8025-TEST-001 | CI coverage | env:; jobs: |
| `.github/workflows/test-suite.yml` | M | Supporting | EIP8025-TEST-001 | CI coverage | env:; jobs: |
| `.github/workflows/zkboost-tests.yml` | A | Supporting | EIP8025-TEST-001 | CI coverage | workflow jobs |
| `Cargo.lock` | M | Supporting | EIP8025-TEST-001, EIP8025-ENGINE-001 | build/dependency integration | dependencies = [ |
| `Cargo.toml` | M | Supporting | EIP8025-TEST-001, EIP8025-ENGINE-001 | build/dependency integration | members = [; ethereum_serde_utils = "0.8.0"; snap = "1"; quick-protobuf = { git = "https://github.com/sigp/quick-protobuf.git", rev = "87 |
| `Makefile` | M | Supporting | EIP8025-TEST-001, EIP8025-ENGINE-001 | build/dependency integration | test-release:; test-debug: |
| `beacon_node/beacon_chain/src/beacon_chain.rs` | M | Supporting | EIP8025-VALIDATION-002..006, EIP8025-STORAGE-001 | beacon-chain wiring and errors | use crate::early_attester_cache::EarlyAttesterCache;; use crate::observed_data_sidecars::ObservedDataSidecars;; pub struct BeaconChain<T: BeaconChainTypes> {; impl<T: BeaconChainTypes> BeaconChain<T> { |
| `beacon_node/beacon_chain/src/builder.rs` | M | Supporting | EIP8025-VALIDATION-002..006, EIP8025-STORAGE-001 | beacon-chain wiring and errors | use crate::{; where |
| `beacon_node/beacon_chain/src/chain_config.rs` | M | Supporting | EIP8025-VALIDATION-002..006, EIP8025-STORAGE-001 | beacon-chain wiring and errors | use std::{collections::HashSet, sync::LazyLock, time::Duration};; pub struct ChainConfig {; impl Default for ChainConfig { |
| `beacon_node/beacon_chain/src/eip8025/mod.rs` | A | Direct | EIP8025-VALIDATION-002..006, EIP8025-STORAGE-001, EIP8025-FORKCHOICE-001 | proof observation, verification, status, and storage | proof status/verification |
| `beacon_node/beacon_chain/src/eip8025/proof_status.rs` | A | Direct | EIP8025-VALIDATION-002..006, EIP8025-STORAGE-001, EIP8025-FORKCHOICE-001 | proof observation, verification, status, and storage | proof status/verification |
| `beacon_node/beacon_chain/src/eip8025/proof_verification.rs` | A | Direct | EIP8025-VALIDATION-002..006, EIP8025-STORAGE-001, EIP8025-FORKCHOICE-001 | proof observation, verification, status, and storage | proof status/verification |
